Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
P Amarnath,2008-2008,6,6,22,0,236,7,Feb-29,33.71,10.72,18.8,0,0,2,0
S Anirudha,2008-2013,19,-,-,-,-,-,-,-,-,-,-,-,11,0
KB Arun Karthik,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Ashwin,2009-2015,97,94,337.4,4,2180,90,16-Mar,24.22,6.45,22.5,0,0,20,0
S Badree,2014-2014,4,4,14,0,97,2,19-Jan,48.5,6.92,42,0,0,0,0
S Badrinath,2008-2013,95,-,-,-,-,-,-,-,-,-,-,-,16,0
GJ Bailey,2009-2010,4,-,-,-,-,-,-,-,-,-,-,-,0,0
L Balaji,2008-2010,29,29,93.4,0,809,31,24-May,26.09,8.63,18.1,1,1,5,0
DE Bollinger,2010-2012,27,27,96,3,693,37,13-Apr,18.72,7.21,15.5,1,0,8,0
DJ Bravo,2011-2015,61,58,192.3,0,1542,79,Apr-42,19.51,8.01,14.6,1,0,39,0
MS Dhoni,2008-2015,129,-,-,-,-,-,-,-,-,-,-,-,58,23
F du Plessis,2012-2015,45,1,1,0,16,0,-,-,16,-,0,0,25,0
SP Fleming,2008-2008,10,-,-,-,-,-,-,-,-,-,-,-,2,0
A Flintoff,2009-2009,3,3,11,0,105,2,11-Jan,52.5,9.54,33,0,0,4,0
C Ganapathy,2010-2010,1,1,1,0,13,0,-,-,13,-,0,0,0,0
MS Gony,2008-2010,26,26,85,3,707,23,Mar-34,30.73,8.31,22.1,0,0,5,0
JW Hastings,2014-2014,1,1,3,0,29,1,29-Jan,29,9.66,18,0,0,0,0
ML Hayden,2008-2010,32,-,-,-,-,-,-,-,-,-,-,-,11,0
BW Hilfenhaus,2012-2014,17,17,62,2,479,22,27-Mar,21.77,7.72,16.9,0,0,1,0
JO Holder,2013-2013,6,6,20,0,168,2,20-Feb,84,8.4,60,0,0,3,0
DJ Hussey,2014-2014,5,1,2.5,0,38,2,Feb-38,19,13.41,8.5,0,0,1,0
MEK Hussey,2008-2015,50,-,-,-,-,-,-,-,-,-,-,-,23,0
RA Jadeja,2012-2015,70,60,175.1,0,1369,55,16-May,24.89,7.81,19.1,3,1,25,0
SB Jakati,2009-2012,50,48,152.1,1,1180,45,22-Apr,26.22,7.75,20.2,2,0,17,0
