"","Player","Span","Mat","Runs","HS","Bat Av","100","Wkts","BBI","Bowl Av","5","Ct","St","Ave Diff",""
"1","Shahid Afridi (PAK)","2006-2016","98","1405","54*","18.01","0","97","4/11","24.35","0","30","0","-6.33",""
"2","Shoaib Malik (PAK)","2006-2017","92","1821","75","29.37","0","25","2/7","23.04","0","37","0","6.33",""
"3","MS Dhoni (INDIA)","2006-2017","83","1281","56","35.58","0","-","-","-","-","45","25","-",""
"4","Umar Akmal (PAK)","2009-2016","82","1690","94","26.82","0","-","-","-","-","49","2","-",""
"5","Mohammad Hafeez (PAK)","2006-2017","81","1658","86","22.71","0","49","4/10","23.87","0","24","0","-1.16",""
"6","TM Dilshan (SL)","2006-2016","80","1889","104*","28.19","1","9","2/4","34.77","0","31","2","-6.58",""
"7","AB de Villiers (SA)","2006-2017","78","1672","79*","26.12","0","-","-","-","-","65","7","-",""
"8","JP Duminy (SA)","2007-2017","73","1700","96*","36.95","0","19","3/18","28.63","0","34","0","8.32",""
"9","LRPL Taylor (NZ)","2006-2016","73","1256","63","24.15","0","-","-","-","-","42","0","-",""
"10","BB McCullum (NZ)","2005-2015","71","2140","123","35.66","2","-","-","-","-","36","8","-",""
"11","EJG Morgan (ENG)","2009-2017","70","1576","85*","28.65","0","-","-","-","-","31","0","-",""
"12","AD Mathews (SL)","2009-2017","69","1054","81*","28.48","0","36","3/16","29.61","0","23","0","-1.12",""
"13","SL Malinga (SL)","2006-2017","68","73","27","5.61","0","90","5/31","19.77","1","18","0","-14.16",""
"14","DJG Sammy (WI/World)","2007-2017","68","587","42*","17.26","0","44","5/26","25.36","1","31","0","-8.09",""
"15","RG Sharma (INDIA)","2007-2017","68","1485","106","30.30","1","1","1/22","113.00","0","25","0","-82.69",""
"16","DJ Bravo (WI)","2006-2016","66","1142","66*","24.29","0","52","4/28","28.26","0","35","0","-3.97",""
"17","SK Raina (INDIA)","2006-2017","65","1307","101","29.70","1","12","2/6","32.91","0","32","0","-3.21",""
"18","DA Warner (AUS)","2009-2017","65","1696","90*","27.35","0","-","-","-","-","34","0","-",""
"19","MJ Guptill (NZ)","2009-2017","64","1856","101*","33.74","1","0","-","-","0","36","0","-",""
"20","Saeed Ajmal (PAK)","2009-2015","64","91","21*","8.27","0","85","4/19","17.83","0","12","0","-9.56",""
"21","NL McCullum (NZ)","2007-2016","63","299","36*","11.50","0","58","4/16","22.03","0","26","0","-10.53",""
"22","NLTC Perera (SL/World)","2010-2017","63","780","49","22.28","0","45","3/24","27.20","0","21","0","-4.91",""
"23","Mushfiqur Rahim (BDESH)","2006-2017","61","741","50","16.84","0","-","-","-","-","23","24","-",""
"24","Shakib Al Hasan (BDESH)","2006-2017","61","1223","84","23.07","0","73","4/15","20.67","0","17","0","2.40",""
"25","Mahmudullah (BDESH)","2007-2017","60","837","64*","19.92","0","22","2/5","31.95","0","23","0","-12.02",""
"26","MN Samuels (WI)","2007-2017","60","1469","89*","30.60","0","22","3/23","27.95","0","12","0","2.64",""
"27","Umar Gul (PAK)","2007-2016","60","165","32","9.16","0","85","5/6","16.97","2","18","0","-7.80",""
"28","KJ O'Brien (IRE)","2008-2017","59","702","42*","16.32","0","54","4/45","18.48","0","17","0","-2.15",""
"29","Tamim Iqbal (BDESH/World)","2007-2017","59","1257","103*","23.27","1","-","-","-","-","14","0","-",""
"30","Kamran Akmal (PAK)","2006-2017","58","987","73","21.00","0","-","-","-","-","28","32","-",""
"31","KMDN Kulasekara (SL)","2008-2017","58","215","31","10.23","0","66","4/31","23.18","0","17","0","-12.94",""
"32","Mohammad Nabi (AFG)","2010-2017","58","876","89","19.04","0","59","4/10","25.20","0","31","0","-6.15",""
"33","Mohammad Shahzad (AFG)","2010-2017","58","1779","118*","32.34","1","-","-","-","-","25","27","-",""
"34","D Ramdin (WI)","2006-2016","58","421","55*","16.19","0","-","-","-","-","32","19","-",""
"35","SR Watson (AUS)","2006-2016","58","1462","124*","29.24","1","48","4/15","24.72","0","20","0","4.51",""
"36","Yuvraj Singh (INDIA)","2007-2017","58","1177","77*","28.02","0","28","3/17","17.82","0","12","0","10.20",""
"37","JC Buttler (ENG)","2011-2017","57","1014","73*","26.68","0","-","-","-","-","19","3","-",""
"38","DA Miller (SA/World)","2010-2017","57","1032","101*","30.35","1","-","-","-","-","37","0","-",""
"39","Sohail Tanvir (PAK)","2007-2017","57","196","41","11.52","0","54","3/12","26.92","0","7","0","-15.39",""
"40","SCJ Broad (ENG)","2006-2014","56","118","18*","7.37","0","65","4/24","22.93","0","21","0","-15.56",""
"41","KA Pollard (WI)","2008-2017","56","768","63*","20.21","0","23","3/30","29.08","0","25","0","-8.87",""
"42","WTS Porterfield (IRE)","2008-2017","56","1002","72","20.87","0","-","-","-","-","22","0","-",""
"43","KC Sangakkara (SL)","2006-2014","56","1382","78","31.40","0","-","-","-","-","25","20","-",""
"44","DPMD Jayawardene (SL)","2006-2014","55","1493","100","31.76","1","0","-","-","0","17","0","-",""
"45","V Kohli (INDIA)","2010-2017","55","1956","90*","52.86","0","4","1/13","49.50","0","27","0","3.36",""
"46","Samiullah Shenwari (AFG)","2010-2017","55","848","61","21.20","0","28","5/13","23.57","1","15","0","-2.37",""
"47","Mashrafe Mortaza (BDESH)","2006-2017","54","377","36","13.46","0","42","4/19","36.35","0","10","0","-22.89",""
"48","Ahmed Shehzad (PAK)","2009-2017","53","1353","111*","26.52","1","0","-","-","0","14","0","-",""
"49","GC Wilson (IRE)","2008-2017","53","891","65*","22.27","0","-","-","-","-","28","4","-",""
"50","CH Gayle (WI)","2006-2017","52","1577","117","35.04","2","17","2/15","22.17","0","14","0","12.86",""
"51","LJ Wright (ENG)","2007-2014","51","759","99*","18.97","0","18","2/24","25.83","0","14","0","-6.85",""
"52","H Masakadza (ZIM)","2006-2016","50","1413","93*","29.43","0","2","1/4","56.50","0","16","0","-27.06",""
"53","JA Morkel (SA)","2005-2015","50","572","43","21.18","0","26","3/12","33.23","0","17","0","-12.04",""
"54","Asghar Stanikzai (AFG)","2010-2017","49","869","62","21.72","0","1","1/4","4.00","0","14","0","17.72",""
"55","LD Chandimal (SL)","2010-2017","48","720","58","18.00","0","-","-","-","-","28","4","-",""
"56","AD Hales (ENG)","2011-2017","48","1383","116*","32.92","1","-","-","-","-","26","0","-",""
"57","SP Narine (WI)","2012-2017","48","147","30","12.25","0","50","4/12","20.68","0","7","0","-8.42",""
"58","E Chigumbura (ZIM)","2006-2016","47","789","54*","20.76","0","16","4/31","26.68","0","18","0","-5.92",""
"59","CL White (AUS)","2007-2014","47","984","85*","32.80","0","1","1/11","51.00","0","23","0","-18.19",""
"60","R Ashwin (INDIA)","2010-2017","46","123","31*","30.75","0","52","4/8","22.94","0","8","0","7.80",""
"61","GH Dockrell (IRE)","2010-2017","46","78","13*","8.66","0","52","4/20","17.82","0","24","0","-9.16",""
"62","LMP Simmons (WI)","2007-2017","45","907","82*","23.86","0","6","4/19","9.16","0","19","0","14.70",""
"63","M Morkel (SA/World)","2007-2017","44","22","8*","7.33","0","47","4/17","25.34","0","5","0","-18.00",""
"64","PR Stirling (IRE)","2009-2017","44","975","79","25.00","0","13","3/21","31.76","0","13","0","-6.76",""
"65","HM Amla (SA/World)","2009-2017","43","1277","97*","34.51","0","-","-","-","-","19","0","-",""
"66","PW Borren (NL)","2008-2017","43","638","57","19.33","0","18","2/19","33.50","0","28","0","-14.16",""
"67","CK Kapugedera (SL)","2006-2017","43","703","50","22.67","0","-","-","-","-","17","0","-",""
"68","AD Russell (WI)","2011-2016","43","345","43*","14.37","0","21","2/10","37.47","0","10","0","-23.10",""
"69","S Badree (WI/World)","2012-2017","42","29","14*","9.66","0","52","4/15","17.59","0","7","0","-7.92",""
"70","KD Mills (NZ)","2005-2014","42","137","33*","11.41","0","43","3/26","28.55","0","8","0","-17.14",""
"71","DW Steyn (SA)","2007-2016","42","15","5","3.00","0","58","4/9","17.39","0","11","0","-14.39",""
"72","KS Williamson (NZ)","2011-2017","42","1173","73*","34.50","0","6","2/16","24.66","0","20","0","9.83",""
"73","TG Southee (NZ)","2008-2017","41","103","23","8.58","0","48","5/18","26.79","1","16","0","-18.20",""
"74","RD Berrington (SCOT)","2008-2017","40","698","100","24.06","1","14","3/22","21.78","0","3","0","2.28",""
"75","J Botha (SA)","2006-2012","40","201","34","18.27","0","37","3/16","22.24","0","17","0","-3.97",""
"76","RA Jadeja (INDIA)","2009-2017","40","116","25","9.66","0","31","3/48","31.70","0","18","0","-22.04",""
"77","Najibullah Zadran (AFG)","2012-2017","40","643","60*","33.84","0","-","-","-","-","19","0","-",""
"78","WD Parnell (SA)","2009-2017","40","114","29*","28.50","0","41","4/13","25.31","0","5","0","3.18",""
"79","KJ Coetzer (SCOT)","2008-2017","39","850","70","24.28","0","5","3/25","14.20","0","15","0","10.08",""
"80","F du Plessis (SA/World)","2012-2017","39","1191","119","36.09","1","0","-","-","0","20","0","-",""
"81","DJ Hussey (AUS)","2008-2012","39","756","88*","22.90","0","19","3/25","20.63","0","24","0","2.27",""
"82","BAW Mendis (SL)","2008-2014","39","8","4*","2.66","0","66","6/8","14.42","2","6","0","-11.75",""
"83","Misbah-ul-Haq (PAK)","2007-2012","39","788","87*","37.52","0","-","-","-","-","14","0","-",""
"84","PM Seelaar (NL)","2008-2017","39","74","12","5.69","0","26","4/19","21.19","0","17","0","-15.49",""
"85","GP Swann (ENG)","2008-2012","39","104","34","20.80","0","51","3/13","16.84","0","5","0","3.95",""
"86","RS Bopara (ENG)","2008-2014","38","711","65*","28.44","0","16","4/10","24.18","0","7","0","4.25",""
"87","Mudassar Bukhari (NL)","2008-2016","38","157","28*","8.72","0","43","4/7","18.13","0","9","0","-9.41",""
"88","JEC Franklin (NZ)","2006-2013","38","463","60","20.13","0","20","4/15","20.85","0","13","0","-0.71",""
"89","MEK Hussey (AUS)","2005-2012","38","721","60*","37.94","0","0","-","-","0","20","0","-",""
"90","GJ Maxwell (AUS)","2012-2017","38","839","145*","28.93","1","17","3/13","33.82","0","18","0","-4.89",""
"91","AR Cusack (IRE)","2008-2015","37","229","65","15.26","0","35","4/11","20.40","0","7","0","-5.13",""
"92","G Gambhir (INDIA)","2007-2012","37","932","75","27.41","0","-","-","-","-","11","0","-",""
"93","KP Pietersen (ENG)","2005-2013","37","1176","79","37.93","0","1","1/27","53.00","0","14","0","-15.06",""
"94","PD Collingwood (ENG/World)","2005-2017","36","583","79","18.80","0","16","4/22","21.68","0","15","0","-2.88",""
"95","Gulbadin Naib (AFG)","2012-2017","36","430","56*","19.54","0","8","2/24","44.00","0","17","0","-24.45",""
"96","Imran Tahir (SA/World)","2013-2017","36","18","9*","18.00","0","57","5/24","15.85","1","7","0","2.14",""
"97","JDP Oram (NZ)","2005-2012","36","474","66*","20.60","0","19","3/33","41.73","0","12","0","-21.12",""
"98","W Barresi (NL)","2012-2017","35","662","75*","22.06","0","-","-","-","-","26","1","-",""
"99","C Munro (NZ)","2012-2017","35","724","109*","27.84","2","1","1/23","78.00","0","8","0","-50.15",""
"100","Sarfraz Ahmed (PAK)","2010-2017","35","391","76*","26.06","0","-","-","-","-","17","5","-",""
"101","Shafiqullah (AFG)","2010-2017","35","392","51*","17.04","0","-","-","-","-","11","0","-",""
"102","P Utseya (ZIM)","2006-2015","35","94","13*","7.83","0","26","3/25","33.00","0","6","0","-25.16",""
"103","Abdur Razzak (BDESH)","2006-2014","34","41","9","4.10","0","44","4/16","19.04","0","10","0","-14.94",""
"104","F Behardien (SA)","2012-2017","34","445","64*","29.66","0","3","2/15","9.00","0","11","0","20.66",""
"105","TT Bresnan (ENG)","2006-2014","34","216","47*","16.61","0","24","3/10","36.95","0","10","0","-20.34",""
"106","J Charles (WI)","2011-2016","34","724","84","21.93","0","-","-","-","-","10","2","-",""
"107","MJ Clarke (AUS)","2005-2010","34","488","67","21.21","0","6","1/2","37.50","0","13","0","-16.28",""
"108","JW Dernbach (ENG)","2011-2014","34","24","12","4.80","0","39","4/22","26.15","0","8","0","-21.35",""
"109","BJ Haddin (AUS)","2006-2014","34","402","47","17.47","0","-","-","-","-","17","6","-",""
"110","Karim Sadiq (AFG)","2010-2016","34","505","72","14.85","0","14","3/17","34.42","0","5","0","-19.57",""
"111","DL Vettori (NZ)","2007-2014","34","205","38","12.81","0","38","4/20","19.68","0","9","0","-6.87",""
"112","Dawlat Zadran (AFG)","2012-2017","33","68","13","7.55","0","39","4/44","24.43","0","7","0","-16.88",""
"113","AJ Finch (AUS)","2011-2017","33","1132","156","37.73","1","0","-","-","0","8","0","-",""
"114","Sabbir Rahman (BDESH)","2014-2017","33","745","80","27.59","0","6","3/11","11.66","0","16","0","15.92",""
"115","DR Smith (WI)","2006-2015","33","582","72","18.18","0","7","3/24","30.28","0","8","0","-12.09",""
"116","GC Smith (SA)","2005-2011","33","982","89*","31.67","0","0","-","-","0","18","0","-",""
"117","Abdul Razzaq (PAK)","2006-2013","32","393","46*","20.68","0","20","3/13","19.75","0","2","0","0.93",""
"118","ADS Fletcher (WI)","2008-2016","32","576","84*","21.33","0","-","-","-","-","19","1","-",""
"119","Mohammad Amir (PAK)","2009-2017","32","41","21*","8.20","0","38","4/13","21.63","0","4","0","-13.43",""
"120","Nawroz Mangal (AFG)","2010-2017","32","505","65*","18.03","0","4","3/23","20.00","0","16","0","-1.96",""
