"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"1","BB McCullum (NZ)","2005-2015","71","70","10","2140","123","35.66","1571","136.21","2","13","3","199","91",""
"2","V Kohli (INDIA)","2010-2017","55","51","14","1956","90*","52.86","1419","137.84","0","18","1","208","40",""
"3","TM Dilshan (SL)","2006-2016","80","79","12","1889","104*","28.19","1567","120.54","1","13","10","223","33",""
"4","MJ Guptill (NZ)","2009-2017","64","62","7","1856","101*","33.74","1426","130.15","1","10","2","173","79",""
"5","Shoaib Malik (PAK)","2006-2017","92","86","24","1821","75","29.37","1548","117.63","0","6","1","152","43",""
"6","Mohammad Shahzad (AFG)","2010-2017","58","58","3","1779","118*","32.34","1300","136.84","1","12","3","200","66",""
"7","JP Duminy (SA)","2007-2017","73","67","21","1700","96*","36.95","1372","123.90","0","9","6","124","59",""
"8","DA Warner (AUS)","2009-2017","65","65","3","1696","90*","27.35","1218","139.24","0","12","5","164","74",""
"9","Umar Akmal (PAK)","2009-2016","82","77","14","1690","94","26.82","1375","122.90","0","8","8","122","55",""
"10","AB de Villiers (SA)","2006-2017","78","75","11","1672","79*","26.12","1237","135.16","0","10","5","140","60",""
"11","Mohammad Hafeez (PAK)","2006-2017","81","78","5","1658","86","22.71","1457","113.79","0","9","5","178","39",""
"12","CH Gayle (WI)","2006-2017","52","49","4","1577","117","35.04","1085","145.34","2","13","2","134","103",""
"13","EJG Morgan (ENG)","2009-2017","70","68","13","1576","85*","28.65","1208","130.46","0","8","3","118","69",""
"14","DPMD Jayawardene (SL)","2006-2014","55","55","8","1493","100","31.76","1121","133.18","1","9","4","173","33",""
"15","RG Sharma (INDIA)","2007-2017","68","61","12","1485","106","30.30","1143","129.92","1","12","3","132","56",""
"16","MN Samuels (WI)","2007-2017","60","58","10","1469","89*","30.60","1275","115.21","0","10","0","133","60",""
"17","SR Watson (AUS)","2006-2016","58","56","6","1462","124*","29.24","1006","145.32","1","10","3","115","83",""
"18","H Masakadza (ZIM)","2006-2016","50","50","2","1413","93*","29.43","1180","119.74","0","10","0","131","51",""
"19","Shahid Afridi (PAK)","2006-2016","98","90","12","1405","54*","18.01","932","150.75","0","4","8","102","73",""
"20","AD Hales (ENG)","2011-2017","48","48","6","1383","116*","32.92","1022","135.32","1","7","4","148","42",""
"21","KC Sangakkara (SL)","2006-2014","56","53","9","1382","78","31.40","1156","119.55","0","8","2","139","20",""
"22","Ahmed Shehzad (PAK)","2009-2017","53","53","2","1353","111*","26.52","1171","115.54","1","7","2","145","29",""
"23","SK Raina (INDIA)","2006-2017","65","55","11","1307","101","29.70","983","132.96","1","4","2","116","47",""
"24","MS Dhoni (INDIA)","2006-2017","83","72","36","1281","56","35.58","1038","123.41","0","1","1","86","40",""
"25","HM Amla (SA/World)","2009-2017","43","43","6","1277","97*","34.51","963","132.60","0","8","1","146","26",""
"26","Tamim Iqbal (BDESH/World)","2007-2017","59","59","5","1257","103*","23.27","1091","115.21","1","4","4","139","29",""
"27","LRPL Taylor (NZ)","2006-2016","73","65","13","1256","63","24.15","1046","120.07","0","5","4","83","48",""
"28","Shakib Al Hasan (BDESH)","2006-2017","61","61","8","1223","84","23.07","1009","121.20","0","6","4","121","27",""
"29","F du Plessis (SA/World)","2012-2017","39","39","6","1191","119","36.09","894","133.22","1","7","0","107","38",""
"30","Yuvraj Singh (INDIA)","2007-2017","58","51","9","1177","77*","28.02","863","136.38","0","8","1","77","74",""
"31","KP Pietersen (ENG)","2005-2013","37","36","5","1176","79","37.93","831","141.51","0","7","1","119","32",""
"32","KS Williamson (NZ)","2011-2017","42","40","6","1173","73*","34.50","959","122.31","0","7","1","133","16",""
"33","DJ Bravo (WI)","2006-2016","66","59","12","1142","66*","24.29","981","116.41","0","4","4","67","49",""
"34","AJ Finch (AUS)","2011-2017","33","33","3","1132","156","37.73","763","148.36","1","7","0","115","48",""
"35","AD Mathews (SL)","2009-2017","69","55","18","1054","81*","28.48","883","119.36","0","5","0","67","35",""
"36","DA Miller (SA/World)","2010-2017","57","49","15","1032","101*","30.35","731","141.17","1","1","0","69","46",""
"37","JC Buttler (ENG)","2011-2017","57","49","11","1014","73*","26.68","731","138.71","0","5","3","72","46",""
"38","WTS Porterfield (IRE)","2008-2017","56","54","6","1002","72","20.87","903","110.96","0","3","5","114","20",""
"39","Kamran Akmal (PAK)","2006-2017","58","53","6","987","73","21.00","825","119.63","0","5","7","100","31",""
"40","CL White (AUS)","2007-2014","47","44","14","984","85*","32.80","740","132.97","0","5","3","71","44",""
"41","GC Smith (SA)","2005-2011","33","33","2","982","89*","31.67","770","127.53","0","5","1","123","26",""
"42","PR Stirling (IRE)","2009-2017","44","43","4","975","79","25.00","731","133.37","0","6","6","121","30",""
"43","G Gambhir (INDIA)","2007-2012","37","36","2","932","75","27.41","783","119.02","0","7","2","109","10",""
"44","LMP Simmons (WI)","2007-2017","45","44","6","907","82*","23.86","777","116.73","0","5","6","86","33",""
"45","GC Wilson (IRE)","2008-2017","53","46","6","891","65*","22.27","852","104.57","0","2","4","83","13",""
"46","Mohammad Nabi (AFG)","2010-2017","58","53","7","876","89","19.04","634","138.17","0","2","3","56","45",""
"47","Asghar Stanikzai (AFG)","2010-2017","49","44","4","869","62","21.72","824","105.46","0","3","2","54","41",""
"48","KJ Coetzer (SCOT)","2008-2017","39","37","2","850","70","24.28","735","115.64","0","2","2","81","28",""
"49","Samiullah Shenwari (AFG)","2010-2017","55","49","9","848","61","21.20","715","118.60","0","2","2","64","29",""
"50","GJ Maxwell (AUS)","2012-2017","38","33","4","839","145*","28.93","507","165.48","1","3","1","78","44",""
"51","Mahmudullah (BDESH)","2007-2017","60","53","11","837","64*","19.92","724","115.60","0","3","2","61","29",""
"52","Q de Kock (SA)","2012-2017","31","31","4","801","59","29.66","626","127.95","0","2","3","93","24",""
"53","E Chigumbura (ZIM)","2006-2016","47","46","8","789","54*","20.76","543","145.30","0","3","5","56","46",""
"54","Misbah-ul-Haq (PAK)","2007-2012","39","34","13","788","87*","37.52","715","110.20","0","3","2","45","26",""
"55","NLTC Perera (SL/World)","2010-2017","63","54","19","780","49","22.28","529","147.44","0","0","5","61","38",""
"56","KA Pollard (WI)","2008-2017","56","48","10","768","63*","20.21","581","132.18","0","2","1","55","39",""
"57","LJ Wright (ENG)","2007-2014","51","45","5","759","99*","18.97","554","137.00","0","4","9","68","31",""
"58","DJ Hussey (AUS)","2008-2012","39","36","3","756","88*","22.90","623","121.34","0","3","4","41","34",""
"59","Shaiman Anwar (UAE)","2014-2017","26","26","2","747","117*","31.12","616","121.26","1","4","1","59","29",""
"60","Sabbir Rahman (BDESH)","2014-2017","33","32","5","745","80","27.59","618","120.55","0","3","0","69","22",""
"61","JE Root (ENG)","2012-2017","25","23","4","743","90*","39.10","577","128.76","0","4","0","76","16",""
"62","Mushfiqur Rahim (BDESH)","2006-2017","61","53","9","741","50","16.84","655","113.12","0","1","3","61","19",""
"63","J Charles (WI)","2011-2016","34","33","0","724","84","21.93","595","121.68","0","4","4","84","26",""
"64","C Munro (NZ)","2012-2017","35","32","6","724","109*","27.84","475","152.42","2","3","4","48","46",""
"65","MEK Hussey (AUS)","2005-2012","38","30","11","721","60*","37.94","529","136.29","0","4","1","58","25",""
