"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"1","Shahid Afridi (PAK)","2006-2016","98","96","357.2","4","2362","97","4/11","24.35","6.61","22.1","3","0",""
"2","SL Malinga (SL)","2006-2017","68","68","241.5","0","1780","90","5/31","19.77","7.36","16.1","1","1",""
"3","Saeed Ajmal (PAK)","2009-2015","64","63","238.2","2","1516","85","4/19","17.83","6.36","16.8","4","0",""
"4","Umar Gul (PAK)","2007-2016","60","60","200.3","2","1443","85","5/6","16.97","7.19","14.1","4","2",""
"5","Shakib Al Hasan (BDESH)","2006-2017","61","60","221.5","1","1509","73","4/15","20.67","6.80","18.2","3","0",""
"6","KMDN Kulasekara (SL)","2008-2017","58","58","205.1","6","1530","66","4/31","23.18","7.45","18.6","2","0",""
"7","BAW Mendis (SL)","2008-2014","39","39","147.3","5","952","66","6/8","14.42","6.45","13.4","3","2",""
"8","SCJ Broad (ENG)","2006-2014","56","55","195.3","2","1491","65","4/24","22.93","7.62","18.0","1","0",""
"9","Mohammad Nabi (AFG)","2010-2017","58","58","205.4","5","1487","59","4/10","25.20","7.23","20.9","3","0",""
"10","NL McCullum (NZ)","2007-2016","63","59","187.1","0","1278","58","4/16","22.03","6.82","19.3","2","0",""
"11","DW Steyn (SA)","2007-2016","42","42","150.1","2","1009","58","4/9","17.39","6.71","15.5","2","0",""
"12","Imran Tahir (SA/World)","2013-2017","36","36","132.5","0","904","57","5/24","15.85","6.80","13.9","2","1",""
"13","KJ O'Brien (IRE)","2008-2017","59","46","139.3","0","998","54","4/45","18.48","7.15","15.5","1","0",""
"14","Sohail Tanvir (PAK)","2007-2017","57","57","202.2","3","1454","54","3/12","26.92","7.18","22.4","0","0",""
"15","R Ashwin (INDIA)","2010-2017","46","46","171.0","2","1193","52","4/8","22.94","6.97","19.7","2","0",""
"16","S Badree (WI/World)","2012-2017","42","42","158.0","3","915","52","4/15","17.59","5.79","18.2","1","0",""
"17","DJ Bravo (WI)","2006-2016","66","56","173.4","0","1470","52","4/28","28.26","8.46","20.0","2","0",""
