"","Player","wicket","runs","DOB","Batting_Hand","Bowling_Skill","Country","Match","Avg","Wicket_per","BatsmenRating","BowlersRating"
"1","R Dhawan",18,153,"19-Feb-90","Right_Hand","Right-arm medium-fast","India",26,5.88461538461539,0.692307692307692,1,2
"2","WD Parnell",21,63,"30-Jul-89","Left_Hand","Left-arm medium-fast","South Africa",26,2.42307692307692,0.807692307692308,1,3
"3","DB Ravi Teja",1,375,"5-Sep-87","Right_Hand","Legbreak googly","India",32,11.71875,0.03125,2,1
"4","RA Jadeja",59,1574,"6-Dec-88","Left_Hand","Slow left-arm orthodox","India",138,11.4057971014493,0.427536231884058,2,2
"5","AC Thomas",11,20,"9-Feb-77","Right_Hand","Right-arm fast-medium","England",15,1.33333333333333,0.733333333333333,1,2
"6","JD Ryder",7,604,"6-Aug-84","Left_Hand","Right-arm medium","New Zealand",29,20.8275862068966,0.241379310344828,4,1
"7","BJ Rohrer",0,193,"26-Mar-81","Left_Hand","NULL","Australia",8,24.125,0,4,1
"8","J Botha",14,409,"2-May-82","Right_Hand","Right-arm offbreak","South Africa",34,12.0294117647059,0.411764705882353,2,2
"9","S Anirudha",0,136,"14-Apr-87","Right_Hand","NULL","India",20,6.8,0,1,1
"10","SW Billings",0,88,"15-Jun-91","Right_Hand","NULL","England",11,8,0,2,1
"11","MJ Clarke",0,98,"2-Apr-81","Right_Hand","Slow left-arm orthodox","Australia",6,16.3333333333333,0,3,1
"12","AC Voges",0,181,"4-Oct-79","Right_Hand","Slow left-arm orthodox","Australia",9,20.1111111111111,0,3,1
"13","J Suchith",10,48,"16-Jan-94","Left_Hand","Slow left-arm orthodox","India",14,3.42857142857143,0.714285714285714,1,2
"14","S Nadeem",17,24,"12-Aug-89","Right_Hand","Slow left-arm orthodox","India",55,0.436363636363636,0.309090909090909,1,1
"15","CM Gautam",0,169,"8-Mar-86","Right_Hand","NULL","India",13,13,0,2,1
"16","HH Pandya",4,156,"11-Oct-93","Right_Hand","Right-arm medium-fast","India",37,4.21621621621622,0.108108108108108,1,1
"17","VR Aaron",23,42,"29-Oct-89","Right_Hand","Right-arm fast","India",42,1,0.547619047619048,1,2
"18","UA Birla",0,7,"17-Nov-89","Right_Hand","Right-arm medium","India",2,3.5,0,1,1
"19","B Sumanth",0,35,"10-May-88","Right_Hand","Right-arm medium-fast","India",5,7,0,2,1
"20","BCJ Cutting",6,73,"30-Jan-87","Right_Hand","Right-arm fast-medium","Australia",9,8.11111111111111,0.666666666666667,2,2
"21","RR Raje",6,20,"3-Sep-86","Right_Hand","Right-arm fast-medium","India",10,2,0.6,1,2
"22","AN Ghosh",0,7,"19-Oct-86","Right_Hand","Right-arm medium","India",2,3.5,0,1,1
"23","Harmeet Singh",19,18,"7-Sep-92","Left_Hand","Slow left-arm orthodox","India",28,0.642857142857143,0.678571428571429,1,2
"24","Umar Gul",12,39,"14-Apr-84","Right_Hand","Right-arm fast-medium","Pakistan",6,6.5,2,1,5
"25","YS Chahal",56,2,"23-Jul-90","Right_Hand","Legbreak googly","India",56,0.0357142857142857,1,1,3
"26","Azhar Mahmood",7,388,"28-Feb-75","Right_Hand","Right-arm fast-medium","Pakistan",23,16.8695652173913,0.304347826086957,3,1
"27","R Tewatia",3,16,"20-May-93","Left_Hand","Legbreak","India",7,2.28571428571429,0.428571428571429,1,2
"28","P Negi",7,209,"6-Jan-93","Left_Hand","Slow left-arm orthodox","India",41,5.09756097560976,0.170731707317073,1,1
"29","SC Ganguly",8,1349,"8-Jul-72","Left_Hand","Right-arm medium","India",59,22.864406779661,0.135593220338983,4,1
"30","AA Chavan",1,12,"28-Oct-85","Left_Hand","Slow left-arm orthodox","India",13,0.923076923076923,0.0769230769230769,1,1
"31","MP Stoinis",8,146,"16-Aug-89","Right_Hand","Right-arm medium","Australia",12,12.1666666666667,0.666666666666667,2,2
"32","RP Singh",74,52,"6-Dec-85","Right_Hand","Left-arm fast-medium","India",82,0.634146341463415,0.902439024390244,1,3
"33","CK Langeveldt",13,8,"17-Dec-74","Right_Hand","Right-arm fast-medium","England",7,1.14285714285714,1.85714285714286,1,5
"34","DJ Jacobs",0,92,"4-Nov-82","Right_Hand","Right-arm medium","South Africa",7,13.1428571428571,0,2,1
"35","PJ Sangwan",29,22,"5-Nov-90","Right_Hand","Left-arm medium","India",38,0.578947368421053,0.763157894736842,1,2
"36","MS Dhoni",0,3270,"7-Jul-81","Right_Hand","Right-arm medium","India",159,20.5660377358491,0,3,1
"37","KC Cariappa",4,13,"13-Apr-94","Right_Hand","Legbreak","India",10,1.3,0.4,1,1
"38","V Pratap Singh",0,0,"3-May-92","Right_Hand","Right-arm medium","India",9,0,0,1,1
"39","TR Birt",0,75,"9-Dec-81","Left_Hand","Right-arm medium","Australia",5,15,0,3,1
"40","Harpreet Singh",0,20,"11-Aug-91","Left_Hand","Right-arm medium","India",4,5,0,1,1
