"","Player","InternationalBatsmenRating"
"1","BB McCullum",3.8
"2","V Kohli",5
"3","TM Dilshan",3.4
"4","MJ Guptill",3.8
"5","Shoaib Malik",3.2
"6","Mohammad Shahzad",3.8
"7","JP Duminy",4.2
"8","DA Warner",3.4
"9","Umar Akmal",3.4
"10","AB de Villiers",3
"11","Mohammad Hafeez",2.8
"12","CH Gayle",3.8
"13","EJG Morgan",3.4
"14","DPMD Jayawardene",3.8
"15","RG Sharma",3.4
"16","MN Samuels",3.2
"17","SR Watson",3.4
"18","H Masakadza",3.4
"19","Shahid Afridi",2.6
"20","AD Hales",3.8
"21","KC Sangakkara",3.4
"22","Ahmed Shehzad",3.2
"23","SK Raina",3.4
"24","MS Dhoni",3.8
"25","HM Amla",3.8
"26","Tamim Iqbal",2.8
"27","LRPL Taylor",3
"28","Shakib Al Hasan",3
"29","F du Plessis",3.8
"30","Yuvraj Singh",3.4
"31","KP Pietersen",4.2
"32","KS Williamson",3.8
"33","DJ Bravo",2.8
"34","AJ Finch",4.2
"35","AD Mathews",3.2
"36","DA Miller",3.4
"37","JC Buttler",3.4
"38","WTS Porterfield",2.4
"39","Kamran Akmal",2.6
"40","CL White",3.8
"41","GC Smith",3.8
"42","PR Stirling",3
"43","G Gambhir",3.2
"44","LMP Simmons",2.8
"45","GC Wilson",2.8
"46","Mohammad Nabi",2.6
"47","Asghar Stanikzai",2.8
"48","KJ Coetzer",2.8
"49","Samiullah Shenwari",2.8
"50","GJ Maxwell",3.4
"51","Mahmudullah",2.4
"52","Q de Kock",3.4
"53","E Chigumbura",2.6
"54","Misbah-ul-Haq",4
"55","NLTC Perera",3
"56","KA Pollard",2.6
"57","LJ Wright",2.6
"58","DJ Hussey",3
"59","Shaiman Anwar",3.4
"60","Sabbir Rahman",3.4
"61","JE Root",4.2
"62","Mushfiqur Rahim",2.4
"63","J Charles",3
"64","C Munro",3.4
"65","MEK Hussey",4.2
"66","LD Chandimal",2.4
"67","MDKJ Perera",3.4
"68","RS Bopara",3.2
"69","CK Kapugedera",2.8
"70","KJ O'Brien",2.4
"71","RD Berrington",3
"72","JH Kallis",3.6
"73","W Barresi",2.8
"74","Najibullah Zadran",3.8
"75","SJ Myburgh",3
"76","PW Borren",2.6
"77","ST Jayasuriya",3
"78","MR Swart",3.2
"79","CJ Chibhabha",2.4
"80","Salman Butt",3.2
"81","BRM Taylor",3.4
"82","DJG Sammy",2.6
"83","PD Collingwood",2.6
"84","DR Smith",2.6
"85","SB Styris",3
"86","ADS Fletcher",2.8
"87","JA Morkel",3
"88","MN Waller",3
"89","MJ Lumb",3
"90","S Dhawan",2.8
"91","Babar Hayat",3.4
"92","Soumya Sarkar",2.6
"93","C Kieswetter",2.8
"94","V Sibanda",2.4
"95","CO Obuya",3.2
"96","Noor Ali Zadran",3.2
"97","Karim Sadiq",2
"98","Nawroz Mangal",2.4
"99","SC Williams",3
"100","Imran Nazir",3
"101","CS MacLeod",2.4
"102","MJ Clarke",2.8
"103","JDP Oram",2.6
"104","GJ Bailey",3
"105","JJ Roy",2.6
"106","Babar Azam",4.6
"107","E Lewis",3.8
"108","NJ O'Brien",2.4
"109","JEC Franklin",2.4
"110","JD Ryder",3
"111","Mohammad Ashraful",2.6
"112","F Behardien",3.4
"113","Younis Khan",3
"114","CJ Anderson",3
"115","SPD Smith",3
"116","Gulbadin Naib",2.6
"117","D Ramdin",2.4
"118","PL Mommsen",3.8
"119","BN Cooper",2.8
"120","Rohan Mustafa",2.6
"121","MW Machan",4.2
"122","EC Joyce",3.6
"123","TLW Cooper",3.4
"124","BJ Haddin",2.4
"125","RT Ponting",3.4
"126","HH Gibbs",2.6
"127","V Sehwag",3
"128","Abdul Razzaq",2.4
"129","MS Chapman",2.8
"130","MH Cross",3
"131","Shafiqullah",2.6
"132","Sarfraz Ahmed",2.8
"133","Muhammad Usman",2.8
"134","Mashrafe Mortaza",2.2
"135","Nizakat Khan",2.6
"136","AM Rahane",2.4
"137","Nasir Hossain",2.4
"138","Zeeshan Maqsood",2.8
"139","Nasir Jamshed",2.8
"140","Sharjeel Khan",3
"141","L Ronchi",2.6
"142","Anamul Haque",3.6
"143","OA Shah",3
"144","RR Patel",2.4
"145","AD Russell",2.2
"146","SO Tikolo",3.4
"147","S Chanderpaul",2.4
"148","Sikandar Raza",2
"149","A Symonds",5
"150","JM Bairstow",3
"151","RJ Nicol",2.4
"152","RR Rossouw",3.4
"153","AA Obanda",2.4
"154","LE Bosman",3
"155","Anshuman Rath",2.4
"156","ML Hayden",0.6
"157","KL Rahul",0.6
"158","NL McCullum",2
"159","RR Sarwan",2.8
"160","Usman Ghani",2.8
"161","HDRL Thirimanne",2.4
"162","AN Kervezee",0.6
"163","A Bagai",0.6
"164","Mohammad Shahzad",2
"165","TAM Siriwardana",2.6
"166","AC Gilchrist",3
"167","Amjad Javed",2.4
"168","MV Boucher",2.4
