"","Player","InternationalBowlersRating"
"1","Shahid Afridi",3.2
"2","SL Malinga",3.8
"3","Saeed Ajmal",4
"4","Umar Gul",4.4
"5","Shakib Al Hasan",3.6
"6","KMDN Kulasekara",3.4
"7","BAW Mendis",4.8
"8","SCJ Broad",3.4
"9","Mohammad Nabi",3.2
"10","NL McCullum",3.2
"11","DW Steyn",4.4
"12","Imran Tahir",4.8
"13","KJ O'Brien",3.2
"14","Sohail Tanvir",3.2
"15","R Ashwin",3.6
"16","S Badree",4.2
"17","DJ Bravo",2.4
"18","GH Dockrell",3.6
"19","GP Swann",4
"20","SP Narine",3.8
"21","Mohammad Hafeez",2.4
"22","TG Southee",3.2
"23","SR Watson",2.6
"24","M Morkel",3.4
"25","NLTC Perera",2.4
"26","Abdur Razzak",4
"27","Ahsan Malik",4.2
"28","DJG Sammy",2.2
"29","Mudassar Bukhari",3.6
"30","KD Mills",2.8
"31","Mashrafe Mortaza",2.6
"32","Rashid Khan",5
"33","WD Parnell",2.8
"34","JJ Bumrah",4
"35","Al-Amin Hossain",4.6
"36","Dawlat Zadran",3.4
"37","JW Dernbach",3.2
"38","MG Johnson",3.8
"39","Mohammad Amir",3.6
"40","DL Vettori",3.8
"41","J Botha",3.2
"42","JP Faulkner",4.2
"43","AD Mathews",2.4
"44","AR Cusack",3.2
"45","A Nehra",3.8
"46","Amjad Javed",4.2
"47","AG Cremer",4
"48","Hamid Hassan",4.4
"49","DT Johnston",3.6
"50","RA Jadeja",2.6
"51","CJ Jordan",3.2
"52","Shapoor Zadran",3
"53","MJ McClenaghan",3.4
"54","MA Starc",4
"55","JE Taylor",3.2
"56","Amir Hamza",3.2
"57","Mohammad Naveed",4.2
"58","R Rampaul",3.6
"59","RE van der Merwe",4
"60","Aizaz Khan",4
"61","RM Haq",4.2
"62","B Lee",3.4
"63","DP Nannes",4.6
"64","IK Pathan",3.4
"65","WB Rankin",3.8
"66","Samiullah Shenwari",2
"67","SM Sharif",3.4
"68","SW Tait",3.8
"69","Wahab Riaz",3.4
"70","Yuvraj Singh",2
"71","HS Baidwan",4.6
"72","ST Finn",3.8
"73","Imad Wasim",3.8
"74","Mustafizur Rahman",5
"75","KJ Abbott",3.8
"76","TA Boult",4.2
"77","JA Morkel",2.2
"78","PM Seelaar",2.4
"79","IS Sodhi",4.8
"80","MC Sorensen",3.2
"81","P Utseya",2.8
"82","SE Bond",4
"83","Harbhajan Singh",3.4
"84","Nadeem Ahmed",3.6
"85","SMSM Senanayake",3.6
"86","Shoaib Malik",1.6
"87","T van der Gugten",3.2
"88","TT Bresnan",2.6
"89","Haseeb Amjad",3.8
"90","RJ Peterson",3.4
"91","D Wiese",3.4
"92","IG Butler",3.8
"93","NM Coulter-Nile",3.8
"94","PJ Cummins",4
"95","KA Pollard",1.6
"96","RJ Sidebottom",4
"97","Mahmudullah",2
"98","SO Ngoche",3.6
"99","K Rabada",4
"100","MN Samuels",1.8
"101","Bilal Khan",3.8
"102","AC Botha",4.6
"103","B Kumar",3.2
"104","AF Milne",3.4
"105","Mohammad Sami",4.4
"106","AD Russell",1.4
"107","MJ Santner",4
"108","Abdul Razzaq",2.4
"109","JEC Franklin",2.2
"110","CH Morris",4.2
"111","T Panyangara",4.2
"112","AM Phangiso",3.8
"113","DJ Willey",3.6
"114","NW Bracken",3.2
"115","JP Duminy",1.4
"116","DJ Hussey",2
"117","ST Jayasuriya",2.2
"118","JDP Oram",2
"119","LE Plunkett",3.8
"120","AU Rashid",2.6
"121","Rohan Mustafa",2.8
