Player,BowlersRating
Shahid Afridi,3.2
SL Malinga,3.8
Saeed Ajmal,4
Umar Gul,4.4
Shakib Al Hasan,3.6
KMDN Kulasekara,3.4
BAW Mendis,4.8
SCJ Broad,3.4
Mohammad Nabi,3.2
NL McCullum,3.2
DW Steyn,4.4
Imran Tahir,4.8
KJ O'Brien,3.2
Sohail Tanvir,3.2
R Ashwin,3.6
S Badree,4.2
DJ Bravo,2.4
GH Dockrell,3.6
GP Swann,4
SP Narine,3.8
Mohammad Hafeez,2.4
TG Southee,3.2
SR Watson,2.6
M Morkel,3.4
NLTC Perera,2.4
Abdur Razzak,4
Ahsan Malik,4.2
DJG Sammy,2.2
Mudassar Bukhari,3.6
KD Mills,2.8
Mashrafe Mortaza,2.6
Rashid Khan,5
WD Parnell,2.8
JJ Bumrah,4
Al-Amin Hossain,4.6
Dawlat Zadran,3.4
JW Dernbach,3.2
MG Johnson,3.8
Mohammad Amir,3.6
DL Vettori,3.8
J Botha,3.2
JP Faulkner,4.2
AD Mathews,2.4
AR Cusack,3.2
A Nehra,3.8
Amjad Javed,4.2
AG Cremer,4
Hamid Hassan,4.4
DT Johnston,3.6
RA Jadeja,2.6
CJ Jordan,3.2
Shapoor Zadran,3
MJ McClenaghan,3.4
MA Starc,4
JE Taylor,3.2
Amir Hamza,3.2
Mohammad Naveed,4.2
R Rampaul,3.6
RE van der Merwe,4
Aizaz Khan,4
RM Haq,4.2
B Lee,3.4
DP Nannes,4.6
IK Pathan,3.4
WB Rankin,3.8
Samiullah Shenwari,2
SM Sharif,3.4
SW Tait,3.8
Wahab Riaz,3.4
Yuvraj Singh,2
HS Baidwan,4.6
ST Finn,3.8
Imad Wasim,3.8
Mustafizur Rahman,5
KJ Abbott,3.8
TA Boult,4.2
JA Morkel,2.2
PM Seelaar,2.4
IS Sodhi,4.8
MC Sorensen,3.2
P Utseya,2.8
SE Bond,4
Harbhajan Singh,3.4
Nadeem Ahmed,3.6
SMSM Senanayake,3.6
Shoaib Malik,1.6
T van der Gugten,3.2
TT Bresnan,2.6
Haseeb Amjad,3.8
RJ Peterson,3.4
D Wiese,3.4
IG Butler,3.8
NM Coulter-Nile,3.8
PJ Cummins,4
KA Pollard,1.6
RJ Sidebottom,4
Mahmudullah,2
SO Ngoche,3.6
K Rabada,4
MN Samuels,1.8
Bilal Khan,3.8
AC Botha,4.6
B Kumar,3.2
AF Milne,3.4
Mohammad Sami,4.4
AD Russell,1.4
MJ Santner,4
Abdul Razzaq,2.4
JEC Franklin,2.2
CH Morris,4.2
T Panyangara,4.2
AM Phangiso,3.8
DJ Willey,3.6
NW Bracken,3.2
JP Duminy,1.4
DJ Hussey,2
ST Jayasuriya,2.2
JDP Oram,2
LE Plunkett,3.8
AU Rashid,2.6
Rohan Mustafa,2.8
Shoaib Akhtar,3.8
Tanwir Afzal,3.2
MRJ Watt,3.4
KOK Williams,1.2
JM Anderson,3
SJ Benn,2.8
PW Borren,2
CR Brathwaite,2.4
YS Chahal,4.2
CRD Fernando,3
Hasan Ali,4.2
HMRKB Herath,3.8
K Santokie,4.4
SB Styris,2.4
LL Tsotsobe,2.8
PA van Meekeren,3.4
HA Varaiya,3
LJ Wright,1.6
DAJ Bracewell,3.4
AB Dinda,1
CH Gayle,1.6
Z Khan,3
CK Langeveldt,1
R McLaren,4.2
GJ Maxwell,1.8
HH Pandya,2.4
SPD Smith,2.2
SC Williams,2.8
RS Bopara,2
E Chigumbura,1
PD Collingwood,1.6
GD Drummond,3.2
FH Edwards,2.4
A Mishra,1.4
CB Mpofu,2.4
NN Odhiambo,2
JS Patel,1
Yasir Arafat,3.8
A Zampa,4.2
RG Aga,2.8
Mohammad Irfan,2.8
SM Pollock,3.8
B Regmi,1.4
MJG Rippon,3.4
Rubel Hossain,2.6
RP Singh,1.2
MM Ali,2.2
CJ Anderson,1.6
RD Berrington,2
JH Davey,2.8
GD Elliott,2.6
AC Evans,1.2
Karim Sadiq,2
Mirwais Ashraf,2.4
Shadab Khan,1.2
MR Swart,2.4
N Vanua,1.2
CJ Chibhabha,1.6
SR Clark,1.2
