Player,Rating
KP Pietersen,9.2
MEK Hussey,9.2
V Kohli,9.0
A Symonds,9.0
CH Gayle,8.8
DA Warner,8.4
Q de Kock,8.4
JP Duminy,8.2
DPMD Jayawardene,7.8
GC Smith,7.8
LMP Simmons,7.8
BB McCullum,7.8
F du Plessis,7.8
JH Kallis,7.6
TM Dilshan,7.4
RG Sharma,7.4
KC Sangakkara,7.4
SE Marsh,7.4
SK Raina,7.4
DA Miller,7.4
SR Watson,7.4
RS Bopara,7.2
AJ Finch,7.2
G Gambhir,7.2
Salman Butt,7.2
V Sehwag,7.0
OA Shah,7.0
AB de Villiers,7.0
Misbah-ul-Haq,7.0
MJ Lumb,7.0
JD Ryder,7.0
BJ Hodge,7.0
ST Jayasuriya,7.0
AC Gilchrist,7.0
S Dhawan,6.8
CL White,6.8
RV Uthappa,6.8
MS Dhoni,6.8
DR Smith,6.6
PD Collingwood,6.6
HH Gibbs,6.6
Kamran Akmal,6.6
GJ Maxwell,6.4
AM Rahane,6.4
Yuvraj Singh,6.4
EJG Morgan,6.4
AD Mathews,6.2
GJ Bailey,6.0
LRPL Taylor,6.0
DJ Hussey,6.0
MK Pandey,6.0
SPD Smith,6.0
CJ Anderson,6.0
RR Sarwan,5.8
MJ Clarke,5.8
KS Williamson,5.8
Mohammad Shahzad,5.8
HM Amla,5.8
KA Pollard,5.6
YK Pathan,5.6
LJ Wright,5.6
ML Hayden,5.6
MN van Wyk,5.6
SR Tendulkar,5.6
RT Ponting,5.4
C Munro,5.4
JC Buttler,5.4
MDKJ Perera,5.4
RR Rossouw,5.4
BJ Haddin,5.4
JEC Franklin,5.4
JR Hopes,5.4
T Taibu,5.2
AD Russell,5.2
Shoaib Malik,5.2
MN Samuels,5.2
BMAJ Mendis,5.0
CR Brathwaite,5.0
DJ Harris,5.0
Shakib Al Hasan,5.0
NLTC Perera,5.0
MC Henriques,5.0
DAJ Bracewell,5.0
SB Styris,5.0
RE Levi,5.0
JA Morkel,5.0
Mohammad Hafeez,4.8
DJ Bravo,4.8
IK Pathan,4.8
MJ Guptill,4.8
J Botha,4.6
M Vijay,4.6
DJG Sammy,4.6
R Dravid,4.6
HA Varaiya,4.6
RE van der Merwe,4.6
UT Khawaja,4.6
Babar Azam,4.6
SM Katich,4.6
BJ Rohrer,4.6
Shahid Afridi,4.6
F Behardien,4.4
S Chanderpaul,4.4
MS Wade,4.4
MV Boucher,4.4
JE Root,4.2
R Ashwin,4.2
SW Billings,4.2
D Wiese,4.2
WD Parnell,4.2
SM Pollock,4.2
JDS Neesham,4.2
MW Machan,4.2
LPC Silva,4.0
SA Asnodkar,4.0
PC Valthaty,4.0
AP Majumdar,4.0
NL McCullum,4.0
JP Faulkner,4.0
Younis Khan,4.0
SC Ganguly,4.0
PL Mommsen,3.8
E Lewis,3.8
Najibullah Zadran,3.8
MH Yardy,3.8
CK Kapugedera,3.8
AD Hales,3.8
A Flintoff,3.6
B Lee,3.6
S Badrinath,3.6
AB Barath,3.6
Anamul Haque,3.6
SS Iyer,3.6
SV Samson,3.6
L Ronchi,3.6
SP Fleming,3.6
MK Tiwary,3.6
EC Joyce,3.6
DR Martyn,3.6
KL Rahul,3.6
KD Karthik,3.6
LA Pomersbach,3.6
RA Jadeja,3.6
TR Birt,3.6
Mohammad Ashraful,3.6
JDP Oram,3.6
DT Christian,3.6
AC Voges,3.6
PA Patel,3.6
M Klinger,3.6
AT Rayudu,3.6
TLW Cooper,3.4
R McLaren,3.4
Shaiman Anwar,3.4
SO Tikolo,3.4
H Masakadza,3.4
Babar Hayat,3.4
BRM Taylor,3.4
Imran Tahir,3.4
Umar Akmal,3.4
Sabbir Rahman,3.4
Noor Ali Zadran,3.2
Ahmed Shehzad,3.2
CO Obuya,3.2
MR Swart,3.2
SP Narine,3.2
AD Mascarenhas,3.2
HH Pandya,3.2
Mashrafe Mortaza,3.2
Sohail Tanvir,3.2
Harbhajan Singh,3.2
DP Nannes,3.2
GB Hogg,3.2
J Charles,3.0
LA Carseldine,3.0
T Panyangara,3.0
GR Napier,3.0
RD Berrington,3.0
UBT Chand,3.0
RJ Peterson,3.0
MN Waller,3.0
MS Bisla,3.0
AC Blizzard,3.0
KJ Abbott,3.0
MH Cross,3.0
M Vohra,3.0
VVS Laxman,3.0
JE Taylor,3.0
S Sriram,3.0
JM Bairstow,3.0
BB Samantray,3.0
MA Agarwal,3.0
PR Stirling,3.0
S Sohal,3.0
C Madan,3.0
Imran Nazir,3.0
FY Fazal,3.0
W Jaffer,3.0
Azhar Mahmood,3.0
TL Suman,3.0
Y Venugopal Rao,3.0
SS Tiwary,3.0
LE Bosman,3.0
Sharjeel Khan,3.0
RJ Quiney,3.0
S Vidyut,3.0
SJ Myburgh,3.0
N Saini,3.0
DL Vettori,3.0
SC Williams,3.0
KK Nair,3.0
CH Morris,3.0
J Mubarak,3.0
CJ Jordan,3.0
MC Juneja,3.0
MG Johnson,3.0
AR White,2.8
Samiullah Shenwari,2.8
Zeeshan Maqsood,2.8
TG Southee,2.8
DM Bravo,2.8
ES Szwarczynski,2.8
Usman Ghani,2.8
Muhammad Usman,2.8
M Morkel,2.8
W Barresi,2.8
C Kieswetter,2.8
Khalid Latif,2.8
Nasir Jamshed,2.8
MJG Rippon,2.8
