Player,Rating
Umar Gul,9.4
Shoaib Akhtar,8.8
K Santokie,8.4
Sohail Tanvir,8.2
MA Starc,8.0
CRD Fernando,8.0
Mustafizur Rahman,8.0
Imran Tahir,7.8
DP Nannes,7.6
YS Chahal,7.2
A Zampa,7.2
SE Bond,7.0
RE van der Merwe,7.0
NM Coulter-Nile,6.8
BAW Mendis,6.8
SL Malinga,6.8
A Nehra,6.8
SM Pollock,6.8
MG Johnson,6.8
D Wiese,6.4
MJ McClenaghan,6.4
DW Steyn,6.4
R McLaren,6.2
JE Taylor,6.2
TA Boult,6.2
JP Faulkner,6.2
CH Morris,6.2
CJ Jordan,6.2
Shahid Afridi,6.2
CK Langeveldt,6.0
JJ Bumrah,6.0
M Muralitharan,5.8
SP Narine,5.8
WD Parnell,5.8
SW Tait,5.8
DL Vettori,5.8
R Ashwin,5.6
AD Mascarenhas,5.6
SMSM Senanayake,5.6
Shakib Al Hasan,5.6
R Rampaul,5.6
M Morkel,5.4
DJ Bravo,5.4
Harbhajan Singh,5.4
IK Pathan,5.4
WPUJC Vaas,5.4
FH Edwards,5.4
J Botha,5.2
B Kumar,5.2
TG Southee,5.2
S Badree,5.2
D du Preez,5.0
MF Maharoof,5.0
Rashid Khan,5.0
AP Dole,5.0
T Thushara,5.0
Abdur Razzak,5.0
PJ Cummins,5.0
Z Khan,5.0
KJ Abbott,4.8
IS Sodhi,4.8
AC Botha,4.6
BE Hendricks,4.6
HS Baidwan,4.6
Al-Amin Hossain,4.6
SR Watson,4.6
KW Richardson,4.6
RA Jadeja,4.6
YA Abdulla,4.6
JR Hopes,4.6
B Lee,4.4
CR Brathwaite,4.4
RJ Peterson,4.4
AF Milne,4.4
KMDN Kulasekara,4.4
AD Russell,4.4
NLTC Perera,4.4
Mohammad Sami,4.4
DAJ Bracewell,4.4
Hamid Hassan,4.4
PP Ojha,4.4
SB Styris,4.4
T Panyangara,4.2
Ahsan Malik,4.2
DJG Sammy,4.2
DE Bollinger,4.2
RM Haq,4.2
Hasan Ali,4.2
RP Singh,4.2
Amjad Javed,4.2
NL McCullum,4.2
Mohammad Naveed,4.2
JA Morkel,4.2
ST Jayasuriya,4.2
GP Swann,4.0
RJ Sidebottom,4.0
K Rabada,4.0
MJ Santner,4.0
Aizaz Khan,4.0
J Theron,4.0
Saeed Ajmal,4.0
Karanveer Singh,4.0
R Ninan,4.0
JH Kallis,4.0
I Sharma,4.0
AG Cremer,4.0
RS Bopara,4.0
MM Sharma,4.0
A Symonds,4.0
JDP Oram,4.0
Mohammad Asif,4.0
JW Hastings,4.0
JJ van der Wath,4.0
ST Finn,3.8
JK Kamande,3.8
Haseeb Amjad,3.8
HMRKB Herath,3.8
S Sreesanth,3.8
LE Plunkett,3.8
Yasir Arafat,3.8
GB Hogg,3.8
Imad Wasim,3.8
Bilal Khan,3.8
AM Phangiso,3.8
IG Butler,3.8
WB Rankin,3.8
S Aravind,3.6
BB Sran,3.6
Mashrafe Mortaza,3.6
A Nel,3.6
GD McGrath,3.6
DT Johnston,3.6
SM Harwood,3.6
Mohammad Amir,3.6
PD Collingwood,3.6
AA Noffke,3.6
L Balaji,3.6
Mudassar Bukhari,3.6
DJ Willey,3.6
DS Kulkarni,3.6
Sandeep Sharma,3.6
GH Dockrell,3.6
Nadeem Ahmed,3.6
RJ Harris,3.6
SO Ngoche,3.6
JDS Neesham,3.6
MM Patel,3.6
SM Boland,3.6
SM Sharif,3.4
Mohammad Hafeez,3.4
PA van Meekeren,3.4
HH Pandya,3.4
Wahab Riaz,3.4
SCJ Broad,3.4
A Mishra,3.4
MJG Rippon,3.4
MRJ Watt,3.4
BW Hilfenhaus,3.4
AD Mathews,3.4
DT Christian,3.4
Dawlat Zadran,3.4
A Flintoff,3.2
AR Patel,3.2
AR Cusack,3.2
T van der Gugten,3.2
NW Bracken,3.2
MC Sorensen,3.2
GD Drummond,3.2
Mohammad Nabi,3.2
TJ Murtagh,3.2
KJ O'Brien,3.2
Amir Hamza,3.2
JW Dernbach,3.2
S Randiv,3.2
JEC Franklin,3.2
SPD Smith,3.2
PP Chawla,3.2
Tanwir Afzal,3.2
GR Napier,3.0
YK Pathan,3.0
JM Anderson,3.0
SJ Srivastava,3.0
RW Price,3.0
AB Dinda,3.0
HA Varaiya,3.0
A Kumble,3.0
R Vinay Kumar,3.0
Kamran Khan,3.0
SS Mundhe,3.0
P Amarnath,3.0
DJ Hussey,3.0
SO Tikolo,3.0
Yuvraj Singh,3.0
AM Salvi,3.0
A Uniyal,3.0
Anureet Singh,3.0
L Ablish,3.0
SK Warne,3.0
VY Mahesh,3.0
Shapoor Zadran,3.0
P Kumar,3.0
PV Tambe,3.0
S Gopal,3.0
RG Aga,2.8
LL Tsotsobe,2.8
Mohammad Irfan,2.8
SJ Benn,2.8
GJ Maxwell,2.8
MA Leask,2.8
Mehran Khan,2.8
KD Mills,2.8
P Utseya,2.8
JH Davey,2.8
MH Yardy,2.8
MN Samuels,2.8
SC Williams,2.8
JO Holder,2.8
Rohan Mustafa,2.8
KA Pollard,2.6
Joginder Sharma,2.6
MP Stoinis,2.6
AB Agarkar,2.6
TT Bresnan,2.6
KV Sharma,2.6
LJ Wright,2.6
R Dhawan,2.6
M Ntini,2.6
B Geeves,2.6
UT Yadav,2.6
R Sharma,2.6
PVD Chameera,2.6
MC Henriques,2.6
Shoaib Malik,2.6
CH Gayle,2.6
MR Marsh,2.6
GD Elliott,2.6
AU Rashid,2.6
Rubel Hossain,2.6
AC Thomas,2.6
CJ Anderson,2.6
Zeeshan Maqsood,2.4
BMAJ Mendis,2.4
MR Swart,2.4
Khawar Ali,2.4
Abdul Razzaq,2.4
I Udana,2.4
Mirwais Ashraf,2.4
SK Raina,2.4
PM Seelaar,2.4
CB Mpofu,2.4
Ahmed Raza,2.4
Mohammad Ashraful,2.4
JP Duminy,2.4
DR Smith,2.2
MM Ali,2.2
Shafiul Islam,2.2
JD Unadkat,2.2
S Tyagi,2.2
Taskin Ahmed,2.2
Rizwan Cheema,2.2
RN ten Doeschate,2.2
MJ Clarke,2.2
T Henderson,2.2
